h,b0,se0,b1,se1,p_b1,n,b2,se2,p_b2,p_joint,beta_at_-1.50,se_at_-1.50,beta_at_-1.25,se_at_-1.25,beta_at_-1.00,se_at_-1.00,beta_at_-0.75,se_at_-0.75,beta_at_-0.50,se_at_-0.50,beta_at_-0.25,se_at_-0.25,beta_at_+0.00,se_at_+0.00,beta_at_+0.25,se_at_+0.25,beta_at_+0.50,se_at_+0.50,beta_at_+0.75,se_at_+0.75,beta_at_+1.00,se_at_+1.00,beta_at_+1.25,se_at_+1.25,beta_at_+1.50,se_at_+1.50,beta_at_+1.75,se_at_+1.75,beta_at_+2.00,se_at_+2.00
10,0.13407882784196273,0.07832698543100292,-0.03352475035767162,0.07802047411680353,0.6674199199979787,599,0.052955572202399645,0.037078833056498506,0.1532375380754444,0.30802772312892207,0.3035159908338694,0.16711045726460563,0.2587278473553017,0.13327590324181793,0.220559150402034,0.10629522889817138,0.18900989997406625,0.08730762091599507,0.16408009607139845,0.07714454232422124,0.14576973869403062,0.07503682575693617,0.13407882784196273,0.07832698543100292,0.1290073635151948,0.08407560572109782,0.13055534571372684,0.0903539801805838,0.13872277443755882,0.09634290154332435,0.15350964968669076,0.10204593477463564,0.17491597146112264,0.10806162060081005,0.2029417397608545,0.11542047815247052,0.2375869545858863,0.1253957407642789,0.2788516159362181,0.13924733522059535
11,0.15895507914069856,0.08728330843653223,-0.003345030113710512,0.08113555422031106,0.9671143924052845,598,0.04780617534357068,0.040514869690214304,0.23801367293614706,0.3585349803427029,0.27153651883429836,0.17492953260425215,0.2378335157571659,0.139810810503131,0.21010628459797975,0.11241670602032501,0.18835482535673995,0.0938902141685026,0.1725791380334465,0.08472420223073508,0.16277922262809938,0.08353092053923192,0.15895507914069856,0.08728330843653223,0.1611067075712441,0.09306068688005698,0.16923410791973598,0.09907706523924423,0.1833372801861742,0.10465794850594233,0.20341622437055873,0.10996468440833765,0.2294709404728896,0.11579233356877756,0.2615014284931668,0.12340515958203606,0.2995076884313904,0.13430440805729524,0.34348972028756025,0.14990266254073326
12,0.17241945757782073,0.09986825984942302,0.006943695640118215,0.08711097157730391,0.936467174611693,597,0.04505436163170499,0.043519037267657726,0.30053845980828364,0.396266490747032,0.2633762277889796,0.1870725395605551,0.23413727807721202,0.15011852817576748,0.2105301235694075,0.12186273262756944,0.19255476426556614,0.1035047718307616,0.18021120016568787,0.09525495388372981,0.17349943126977274,0.09517710787528724,0.17241945757782073,0.09986825984942302,0.17697127908983185,0.10630581842214494,0.18715489580580608,0.11269634922353379,0.20297030772574345,0.11836323547847474,0.22441751484964392,0.12346745248162629,0.25149651717750754,0.1288262761964851,0.28420731470933425,0.13577951056181542,0.32254990744512413,0.14598489936351253,0.3665242953848771,0.16108410882133367
13,0.177285606559145,0.10983522000851347,0.011376022545368673,0.09263624396995497,0.9022629799605688,596,0.04703022277701289,0.044936994374719555,0.2952926811511818,0.351223193490664,0.26603957398937095,0.19314369275718546,0.2365503014665168,0.15487977529193006,0.2129398067907892,0.1261486717038377,0.19520808996218825,0.10835521850789391,0.18335515098071387,0.10157900823471276,0.17738098984636613,0.10336138832619945,0.177285606559145,0.10983522000851347,0.18306900111905045,0.1177933844791492,0.19473117352608255,0.12539456275064706,0.21227212378024124,0.1319254904866365,0.23569185188152655,0.1374817246840163,0.26499035782993846,0.14278692097799786,0.30016764162547704,0.14909033430201815,0.3412237032681421,0.15802834642972113,0.38815854275793393,0.1713615286671309
14,0.1685681798264971,0.12088109422470825,0.00501864697801168,0.10255399088731093,0.9609697951955518,595,0.051828457721105475,0.05090763936642418,0.3086361284933963,0.4082783361432366,0.27765423923196686,0.20940106860798294,0.24327683629320979,0.16630138361959604,0.2153779905695909,0.13422644077674412,0.19395770206111018,0.11501905716014157,0.17901597076776762,0.10879275807999567,0.17055279668956327,0.11234285270686355,0.1685681798264971,0.12088109422470825,0.17306212017856912,0.13069235295812623,0.1840346177457793,0.13978302543204324,0.2014856725281277,0.14746264145898794,0.22541528452561427,0.15394104133652645,0.255823453738239,0.16012382739588923,0.2927101801660019,0.16749950689323428,0.3360754638089031,0.17797642033332542,0.38591930466694235,0.1935706420530571
15,0.14958481916998534,0.13147275567683764,-0.007999625961884603,0.10101236951297933,0.9368779045370103,594,0.06491886949982584,0.05135259541436307,0.2061658089761519,0.3224345504337923,0.30765171448742035,0.19442003828570636,0.261020085215819,0.15445485542678086,0.2225033146316958,0.12695933804259654,0.19210140273505083,0.11359612998770559,0.1698143495258841,0.11303790146249613,0.15564215500419562,0.1206291962089096,0.14958481916998534,0.13147275567683764,0.1516423420232533,0.1424266094940717,0.1618147235639995,0.15200695806542683,0.18010196379222393,0.1598392714928828,0.20650406270792657,0.1663164965519103,0.24102102031110748,0.17245144545980115,0.28365283660176654,0.17979550788901122,0.3343995115799039,0.1902946002124933,0.39326104524551947,0.205994285785076
16,0.1487411592558349,0.14166463010476352,-0.01018573643697792,0.10825698604138163,0.9250388628204284,593,0.06780879687292554,0.05490535259775777,0.2168258513844893,0.3431762215607559,0.31658955687538426,0.20318308239711177,0.26742457491600347,0.16052224840564883,0.22673569256573836,0.13164976672427967,0.19452290982458895,0.11852465296490021,0.17078622669255522,0.11946225123181578,0.15552564316963724,0.12898925666235572,0.1487411592558349,0.14166463010476352,0.15043277495114826,0.15416076913588742,0.16060049025557732,0.16496444717665898,0.17924430516912207,0.17372299439294864,0.2063642196917825,0.18087295045873722,0.24196023382355866,0.1874891337454095,0.2860323475644505,0.19520917159324652,0.338580560914458,0.20609819904379068,0.39960487387358123,0.22235656494221823
17,0.18778723415922743,0.14889074351022583,0.031588810386526875,0.1190743458197901,0.7907888026683534,592,0.05385700744782432,0.06175782019995967,0.38317138188447586,0.43392795885439694,0.26158228533704186,0.22906984617682383,0.23245279531329432,0.17991405954684914,0.21005543122052486,0.145420984900013,0.19439019305873345,0.12803813318808846,0.18545708082792006,0.12669776291166235,0.18325609452808475,0.1357359898421498,0.18778723415922743,0.14889074351022583,0.19905049972134817,0.16217692344132,0.21704589121444695,0.17377276758644875,0.24177340863852376,0.183267270043806,0.2732330519935786,0.1912073486877893,0.3114248212796115,0.19890640219229871,0.3563487164966225,0.20833071223417637,0.4080047376446114,0.22189158456191366,0.4663928847235784,0.24204489157195083
18,0.1826852668681172,0.1579086928844887,0.030529132194909978,0.12459066014743911,0.8064289596441202,591,0.055110409176741745,0.06497876281253917,0.3963658237251392,0.4739627448400846,0.26088998922342116,0.2327812640280583,0.2306338659631387,0.18201384769243292,0.20726654384994897,0.1472040666416946,0.19078802288385197,0.13102099224952327,0.18119830306484763,0.13182055725060726,0.17849738439293608,0.14300551720409663,0.1826852668681172,0.1579086928844887,0.19376195049039105,0.17254890685987456,0.21172743525975762,0.18521084405797872,0.23658172117621692,0.1955999837491054,0.26832480823976895,0.20438261848873399,0.3069566964504137,0.21299726251185147,0.3524773858081511,0.22353523142067544,0.40488687631298126,0.23851728659067956,0.46418516796490417,0.26047821687517664
19,0.18325555968536555,0.16596592574515215,0.02131033656717142,0.13214576295879152,0.8718855817345663,590,0.06118615921205682,0.06755145212079641,0.3650569726805144,0.4622406551668615,0.28895891306173627,0.24137194953721192,0.25222101274524006,0.18749814658340705,0.22313138233025098,0.1506225263752745,0.20169002181676896,0.13398758093924948,0.18789693120479406,0.1359316608293779,0.18175211049432624,0.1490451652979022,0.18325555968536555,0.16596592574515215,0.19240727877791194,0.1824192422297545,0.20920726777196547,0.19658895530398526,0.23365552666752606,0.2081352502284867,0.2657520554645938,0.21768797986219027,0.30549685416316863,0.2266504385851446,0.35288992276325054,0.23709714857889438,0.4079312612648396,0.25158983959369213,0.4706208696679357,0.27280188948232637
20,0.1957508136089466,0.16942155638843145,0.01707692865461132,0.13245240063302186,0.8974139902329583,589,0.06373628112664664,0.06805640987327961,0.34900482324903614,0.45491896926294717,0.3135420531619846,0.2405840911943961,0.27399259205106785,0.18697418739837143,0.24241016608098193,0.15083809566131431,0.21879477525172686,0.13533418577158565,0.20314641956330262,0.13834551795752878,0.1954650990157092,0.15214885969618355,0.1957508136089466,0.16942155638843145,0.20400356334301484,0.1859994867646507,0.22022334821791392,0.2001326882471871,0.24441016823364387,0.21151150383270143,0.2765640233902046,0.2207797537048812,0.31668491368759616,0.22935318425999698,0.36477283912581854,0.23933016165605617,0.4208277997048718,0.25331859029025083,0.4848497954247558,0.27406153957768736
21,0.2162923255391767,0.17115056015650396,0.01100932603736271,0.1332549324104722,0.9341548703799949,588,0.05800653129826851,0.06975922991044539,0.4056772112586492,0.5481369959590422,0.33029303190423676,0.24586795094762576,0.2931658731460179,0.19098704417408907,0.2632895308000825,0.15385979142940437,0.24066400486643072,0.1376770603043874,0.22528929534506248,0.14032909326848336,0.21716540223597783,0.15398276210537107,0.2162923255391767,0.17115056015650396,0.22267006525465918,0.18755312814610597,0.2362986213824252,0.2013860672200905,0.25717799392247476,0.21232975129827333,0.2853081828748079,0.221056586235867,0.32068918823942466,0.2290544788605876,0.3633210100163249,0.23854411884870597,0.41320364820550876,0.25229707716612326,0.47033710280697616,0.27322061400240677
22,0.18508869869666844,0.17623245635146373,-0.01641533946116157,0.13178808270919978,0.9008730031827773,587,0.07780281304466415,0.06978422659945852,0.2648909503005552,0.4256685347040686,0.3847680372389051,0.23831245771480455,0.3271747684054081,0.18473933267474912,0.27930685120249416,0.1499281141434645,0.2411642856301632,0.13693746013233252,0.21274707168841528,0.14253083691469617,0.19405520937725035,0.1580842620432111,0.18508869869666844,0.17623245635146373,0.18584753964666956,0.19300919276052267,0.1963317322272537,0.20680175391079067,0.21654127643842083,0.21737064857470154,0.246476172280171,0.22540422700388626,0.2861364197525042,0.23237927955253088,0.33552201885542043,0.24051549288893642,0.39463296958891964,0.2526357903551065,0.4634692719530019,0.27177777025520017
23,0.1913219791366399,0.1780527801503528,-0.009345991311391064,0.1379046089309898,0.9459675941690809,586,0.07304328142518289,0.07429998852559802,0.32556509478222284,0.48958045357611757,0.36968834931038796,0.2559860619162861,0.317134595502727,0.1971841387061949,0.2737112518732139,0.15747934474022574,0.23941831842184857,0.14061999886879467,0.21425579514863116,0.14426535384501796,0.19822368205356158,0.15950235762690446,0.1913219791366399,0.1780527801503528,0.19355068639786607,0.19534249031312761,0.20490980383724008,0.20949238836554626,0.225399331454762,0.2201904306916701,0.2550192692504317,0.22817196523552646,0.2937696172242493,0.235061542275606,0.3416503753762148,0.2433245330388436,0.3986615437063281,0.2561000672776159,0.4648031222145893,0.2767287882623
24,0.16707632475456202,0.1836845322423087,-0.009556435533772417,0.14416241512647962,0.9471474469094999,585,0.08420893394195215,0.07742130644511044,0.2767402368298909,0.4083751022411588,0.370881079424613,0.2671605335558399,0.31059832845607777,0.20507032546884038,0.2608416942302866,0.1627826573382485,0.22161117674723943,0.14448856289316492,0.19290677600693626,0.14805797483150243,0.17472849200937712,0.16408493391559453,0.16707632475456202,0.1836845322423087,0.16995027424249093,0.20195665414149605,0.18335034047316387,0.2168920412120627,0.2072765234465808,0.228139861174971,0.24172882316274175,0.2364447842653949,0.28670723962164674,0.24347864279743842,0.34221177282329573,0.25179664899482795,0.40824242276768874,0.2646767907464651,0.4847991894548258,0.28563806566914335
