h,b0,se0,b1,se1,p_b1,n,b2,se2,p_b2,p_joint,beta_at_-1.50,se_at_-1.50,beta_at_-1.25,se_at_-1.25,beta_at_-1.00,se_at_-1.00,beta_at_-0.75,se_at_-0.75,beta_at_-0.50,se_at_-0.50,beta_at_-0.25,se_at_-0.25,beta_at_+0.00,se_at_+0.00,beta_at_+0.25,se_at_+0.25,beta_at_+0.50,se_at_+0.50,beta_at_+0.75,se_at_+0.75,beta_at_+1.00,se_at_+1.00,beta_at_+1.25,se_at_+1.25,beta_at_+1.50,se_at_+1.50,beta_at_+1.75,se_at_+1.75,beta_at_+2.00,se_at_+2.00
10,0.18472952309993657,0.07444830370418906,0.1744628653862802,0.07721730051709133,0.02386004640151242,502,-0.0041526829771410395,0.028285807416501708,0.8832807749421543,0.008861155858962086,-0.08630831167805107,0.12458062107263349,-0.03983762578469655,0.09412574455415858,0.006113974736515329,0.07044260519075303,0.051546489885584586,0.05655544138156331,0.0964599196625112,0.054903626426088835,0.1408542640672952,0.0626938588947574,0.18472952309993657,0.07444830370418906,0.2280856967604353,0.08672486964589014,0.2709227850487914,0.09804178822581128,0.3132407879650049,0.10787139919865803,0.3550397055090757,0.11614246386296094,0.396319537681004,0.12305051460327107,0.4370802844807895,0.12899246517662225,0.4773219459084325,0.1345462985560651,0.5170445219639328,0.14045690512696957
11,0.1928669943301549,0.08159647934571945,0.19339666618505774,0.08033686749637069,0.016070017094189728,501,-0.003954489269489825,0.029412576903439746,0.8930475982984752,0.005492224448702186,-0.10612560580378386,0.12201071261516472,-0.055057727884745125,0.09084398776278299,-0.004484161124392677,0.06738318338284821,0.04559509447727354,0.055468503682795,0.09518003892025356,0.05717577055992726,0.1442706722045473,0.06786893357956425,0.1928669943301549,0.08159647934571945,0.2409690052970762,0.09526495707125911,0.2885767051053113,0.10765936313323635,0.3356900937548602,0.11839144530974771,0.38230917124572283,0.12746635754248267,0.4284339375778992,0.13512708172547427,0.4740643927513894,0.14180261262248728,0.5192005367661934,0.14809190553661367,0.563842369622311,0.15475046983746285
12,0.22676606932425772,0.09601008674149944,0.2230092171561844,0.08744831448350533,0.010766634464005206,500,-0.014073219879801285,0.033792719069284285,0.6770755077464691,0.006322739224384739,-0.1394125011395718,0.12998037209620028,-0.07398485818316232,0.09595311651865249,-0.010316367711727975,0.07164743792472777,0.051592970274731184,0.061688740716433405,0.11174315577621519,0.06679845445834993,0.17013418879272404,0.08030322641190175,0.22676606932425772,0.09601008674149944,0.28163879737081626,0.11103958278228163,0.3347523729323996,0.12430201938779208,0.3861067960090078,0.13548221615069783,0.4357020666006408,0.14465147100162273,0.48353818470729876,0.15213429480642165,0.5296151503289814,0.1584704243952009,0.573932963465689,0.1644088156553575,0.6164916241174214,0.17089811697893506
13,0.22169860660816593,0.10171242524143125,0.20584915228583678,0.08508879615291152,0.015553511003779209,499,-0.0076409225491189114,0.03362584465622062,0.8202420831139651,0.005421210390962877,-0.10426719755610679,0.12554453017760367,-0.04755177523212835,0.0933960212167479,0.008208531773210237,0.071966010738928,0.06301372345990895,0.06534832143652942,0.11686379982796781,0.0724072730542359,0.1697587608773868,0.0863043856864054,0.22169860660816593,0.10171242524143125,0.27268333702030517,0.11618020655736908,0.3227129521138046,0.1287471729379876,0.37178745188866413,0.13912412254185097,0.4199068363448838,0.14737376182118553,0.4670711054824636,0.1538001121631837,0.5132802593014036,0.15892135854647196,0.5585342978017036,0.16347394258658526,0.6028332209833638,0.16841557416678857
14,0.2082828961347363,0.11081327255605669,0.17821965744693707,0.08717935465707373,0.04092516191608651,498,-0.003993588364310671,0.03406790008371177,0.9066822500089345,0.008616450341845465,-0.06803216385536835,0.12387219123061065,-0.020731657493170453,0.09131684617805957,0.026069650323488555,0.07105874409595105,0.07237175959460873,0.0674965163389786,0.11817467032019009,0.07775990171834155,0.1634783825002326,0.09391034715581252,0.2082828961347363,0.11081327255605669,0.2525882112237012,0.1262649734452413,0.29639432776712715,0.13940123751505196,0.3397012457650143,0.14993911917446318,0.3825089652173627,0.1578965759859143,0.4248174861241722,0.1634982046949266,0.4666268084854429,0.16715783145037214,0.5079369323011748,0.16949739968131847,0.5487478575713678,0.1713801670112673
15,0.2160525660327655,0.11428436544501593,0.16362687589255648,0.09227613244500672,0.0761904780047771,497,0.0026632586048497275,0.03603721988301547,0.9410875699644777,0.00612496592131147,-0.023395415945157344,0.13744340648271416,0.015680312737147574,0.1016794568891651,0.055088948745058736,0.07815399163529355,0.0948304920785761,0.07169728155430395,0.13490494273769968,0.0806202919217312,0.17531230072242948,0.09680263338073225,0.2160525660327655,0.11428436544501593,0.2571257386687077,0.13037999395613054,0.29853181863025613,0.14399789372521946,0.3402708059174108,0.15473391005372408,0.3823427005301717,0.16252562189751807,0.4247475024685388,0.16753267054189153,0.4674852117325121,0.17011174505419155,0.5105558283220916,0.17084006721027514,0.5539593522372773,0.17056739375347416
16,0.23521160032601832,0.12009647754074135,0.19914361391806523,0.09588457828579482,0.037809891242743865,496,-0.006431302838576708,0.03806952119253273,0.8658471845894288,0.0026672692638833456,-0.07797425193787713,0.1488342418041619,-0.02376682775683933,0.11174666131698796,0.029636683569376376,0.0872170218826051,0.08223628204076999,0.07958154019405943,0.13403196765734152,0.08732432216956236,0.18502374041909098,0.1028523691119485,0.23521160032601832,0.12009647754074135,0.2845955473781236,0.13610949599707023,0.3331755815754068,0.14962943885860366,0.38095170291786784,0.1601593678794567,0.4279239114055068,0.16758927506128193,0.4740922070383238,0.1720595057780187,0.5194565898163186,0.17393072677812016,0.5640170597394913,0.17381098306243428,0.6077736168078419,0.1726187846599435
17,0.257242093783022,0.12463946892117209,0.2239347989363054,0.1037477136016328,0.03089245270571123,495,-0.010213395130699576,0.043286579995842005,0.8134727851418961,0.005086521997131698,-0.10164024366551018,0.16797448459016967,-0.038634834779077865,0.12609825616230672,0.023093899716016997,0.09714006851678932,0.08354595981977442,0.08580655438024741,0.1427213455321944,0.09163633005447872,0.2006200568532769,0.10692026344471821,0.257242093783022,0.12463946892117209,0.3125874563214296,0.14124481445634732,0.3666561444684998,0.15523087038583758,0.41944815822423254,0.16604100377790898,0.4709634975886278,0.1736081111262935,0.5212021625616856,0.1781950399276044,0.5701641531434061,0.18036831802855013,0.617849469333789,0.1810393303276866,0.6642581111328345,0.18153333132619925
18,0.27394569861403895,0.1334284045941491,0.25282789505876035,0.11534072184090668,0.028378860086755317,494,-0.01750332416094806,0.047266711618358145,0.7111517099714697,0.009336348455766513,-0.1446786233362347,0.18596164413600033,-0.06943811421089284,0.13935002677165806,0.0036144793943305303,0.10635142819084063,0.0744791574794354,0.09230206166153855,0.14315592004442176,0.09755184390275125,0.2096447670892896,0.11393397842698076,0.27394569861403895,0.1334284045941491,0.33605871461866976,0.15192786838611677,0.3959838151031821,0.16770917739104366,0.45372100006757593,0.18015011949937246,0.5092702695118513,0.18918951759380737,0.562631623436008,0.19513878979614827,0.6138050618400464,0.19864514236341005,0.6627905847239661,0.20072559918607544,0.7095881920877674,0.20282276880827346
19,0.2774700963339482,0.14372190887068223,0.2630348299524631,0.1240143060632074,0.03392147209837273,493,-0.024783498472655804,0.0498591758943095,0.6191397188193257,0.01626395192706233,-0.17284502015822198,0.1930461953003512,-0.0900476574701553,0.14303562726850244,-0.010348232091170681,0.10796311431748394,0.066253255978732,0.09429187163542632,0.1397568067395527,0.10213035637314853,0.21016242019129144,0.12155121805307863,0.2774700963339482,0.14372190887068223,0.34167983516752304,0.1644393354551383,0.4027916366920158,0.18200686532150775,0.4608055009074266,0.19582270605787788,0.5157214278137554,0.20582853157381853,0.5675394174110023,0.21232310773272242,0.6162594696991672,0.21592773858511763,0.6618815846782502,0.21762491301079762,0.7044057623482511,0.21882815596131083
20,0.2540899454357774,0.14791824383600113,0.24533578367819228,0.12855354922076623,0.05633532722763624,492,-0.01701476023326369,0.049401641481984684,0.7305327808042452,0.019726262090891143,-0.1521969406063543,0.19286884121792205,-0.07916534702643747,0.14169860430293565,-0.008260598475678574,0.10590530118452017,0.06051730504592237,0.09282319158315283,0.12716836353836533,0.10253472366063307,0.19169257700165035,0.12397840384344634,0.2540899454357774,0.14791824383600113,0.3143604688407465,0.17018076273228147,0.3725041472165576,0.18911672251812095,0.42852098056321075,0.204129783941871,0.48241096888070595,0.21512793046036843,0.5341741121690432,0.22233789510121102,0.5838104104282226,0.2262651952782066,0.6313198636582439,0.2277253892474141,0.6767024718591073,0.2279147010359403
21,0.28832753401979394,0.15035247645784297,0.2600008077416005,0.12795292679798695,0.042153291611972295,491,-0.023836122217942304,0.05029118393663884,0.635526833852919,0.019967375303718893,-0.155304952582977,0.1907626686067467,-0.07391741662274154,0.13993228384459153,0.004490604060251133,0.1051179505449734,0.07991910946600102,0.09361511764041189,0.15236809959450812,0.10453398086189283,0.22183757444577243,0.12641943662980346,0.28832753401979394,0.15035247645784297,0.35183797831657265,0.17238027766552247,0.4123689073361086,0.19094997492740115,0.46992032107840176,0.20551525120866745,0.5244922195434522,0.21602268978570113,0.5760846027312597,0.22274160702970092,0.6246974706418245,0.22623388956157708,0.6703308232751465,0.22739383118176604,0.7129846606312258,0.22752535117182304
22,0.2853154190432937,0.15798038226215416,0.2666030253304866,0.13453443993441583,0.04751605233153385,490,-0.010809376281262467,0.05292522530543638,0.8381670137453742,0.007914968252147566,-0.13891021558527672,0.19807270211892453,-0.06482801305928709,0.14396139517255635,0.007903017431544673,0.10688848352517961,0.07928287588721863,0.09523197823731523,0.14931156230773482,0.10795818787924714,0.21798907669309317,0.13207351281995477,0.2853154190432937,0.15798038226215416,0.35129058935833646,0.181615199885672,0.41591458763822137,0.20142194087230275,0.4791874138829485,0.21686194044327292,0.5411090680925179,0.22788755692600038,0.6016795502669292,0.23477235902055502,0.6608988604061831,0.23808405746137892,0.7187669985102789,0.23873031793902927,0.775283964579217,0.2380475858913473
23,0.29000903637633346,0.16012099571182808,0.27259784551879185,0.1317242079336459,0.03850303642184541,489,-0.013320035444242345,0.05308880417051963,0.8018906310208543,0.005840647489413096,-0.14885781165139958,0.19437557074709944,-0.071550825903785,0.14152880691684808,0.004091155413299269,0.1063526604798989,0.07806813229985325,0.09679602689356126,0.15038010475587696,0.11052841340279619,0.22102707278137035,0.13463533377669315,0.29000903637633346,0.16012099571182808,0.3573259955407663,0.18318234439970532,0.4229779502746688,0.20234889376689513,0.48696490057804104,0.2171132386260978,0.549286846450883,0.22744397905165556,0.6099437878931947,0.23362974772675887,0.668935724904976,0.23625968799038852,0.726262657486227,0.236276383842122,0.7819245856369478,0.2350727051266154
24,0.2970585995141968,0.16135140405520995,0.2764428939024957,0.13160970876205802,0.03568708362673188,488,-0.008413403220759424,0.055120117294677785,0.8786840603856229,0.0028737835349060647,-0.13653589858625553,0.1975608145917013,-0.061640960396359454,0.14341307561907868,0.012202302390941638,0.10736420786442755,0.0849938897756478,0.09756014672690332,0.15673380175775906,0.11150466142526552,0.2274220383372754,0.1358347554094504,0.2970585995141968,0.16135140405520995,0.36564348528852325,0.18420268011242,0.43317669566025474,0.2029106288495698,0.4996582306293914,0.21697461702781604,0.565088090195933,0.2263816812393413,0.6294662743598798,0.23145594710214956,0.6927927831212317,0.2328507600178526,0.7550676164799885,0.23162099397663663,0.8162907744361505,0.22934661707741497
