date,surprise,shock
1979-11-01,0.0,0.6710203070965821
1979-12-01,0.0,0.3311344190300179
1980-01-01,0.0,-0.1253601931529101
1980-02-01,0.0,1.0221683753852766
1980-03-01,0.0,-0.1682258317849819
1980-04-01,0.0,0.34904794618603957
1980-05-01,0.0,0.17620031663146205
1980-06-01,0.0,-0.3502650530948658
1980-07-01,0.0,-0.32834967569226003
1980-08-01,0.0,-0.32385826598718287
1980-09-01,0.0,-0.9200117920991144
1980-10-01,0.0,-0.6945888440112397
1980-11-01,0.0,-0.1502569748809677
1980-12-01,0.0,-0.35713402864588784
1981-01-01,0.0,0.4091853209329333
1981-02-01,0.0,-0.00274715462044264
1981-03-01,0.0,0.40395132773834413
1981-04-01,0.0,0.40898696104940496
1981-05-01,0.0,0.2432260323755156
1981-06-01,0.0,-0.06809168874241962
1981-07-01,0.0,0.6551201329683719
1981-08-01,0.0,-0.6406399205026294
1981-09-01,0.0,0.26129108321255273
1981-10-01,0.0,-0.002117357625645294
1981-11-01,0.0,-0.07953815029820531
1981-12-01,0.0,0.4090489680741167
1982-01-01,0.0,0.11752692426469337
1982-02-01,0.0,-0.6892194660732834
1982-03-01,0.0,-1.1470545289676901
1982-04-01,0.0,1.1512740614461805
1982-05-01,0.0,0.41713890572745205
1982-06-01,0.0,0.21594530037374868
1982-07-01,0.0,-0.004618557428828558
1982-08-01,0.0,0.8475974374176767
1982-09-01,0.0,0.05894833629761985
1982-10-01,0.0,0.43668697028361125
1982-11-01,0.0,0.9856008709233643
1982-12-01,0.0,0.09752104995569545
1983-01-01,0.0,-0.0321079024726373
1983-02-01,0.0,-0.27829141249085954
1983-03-01,0.0,-0.17299300103744836
1983-04-01,0.0,0.15390342299689946
1983-05-01,0.0,-0.04785801892724037
1983-06-01,0.0,0.06940014264861119
1983-07-01,0.18540973860535853,-0.0228665801017231
1983-08-01,0.0,0.11866176329612114
1983-09-01,0.0,0.17237858870211215
1983-10-01,0.0,0.14487452679870746
1983-11-01,0.0,-0.06292108064225992
1983-12-01,-0.2054913940673727,-0.14625955324447185
1984-01-01,0.0,0.05680562316549525
1984-02-01,0.0,-0.3024177084769377
1984-03-01,0.0,0.02632347929553854
1984-04-01,0.0,0.18618494650765102
1984-05-01,0.0,0.1792996156588377
1984-06-01,0.0,0.3723161846815752
1984-07-01,0.099996705120291,0.06569573264690882
1984-08-01,0.0,-0.3474822732801594
1984-09-01,0.0,-0.08479472540067834
1984-10-01,1.0301477254835083,0.2660739189591208
1984-11-01,0.0,-0.14541130132491736
1984-12-01,-1.3538660179446542,-0.25806755520923114
1985-01-01,0.5073683183423282,-0.007378276490486538
1985-02-01,0.0,-0.023669423323680973
1985-03-01,0.0,0.6059417787708516
1985-04-01,0.0,0.21875031615991342
1985-05-01,0.0,-0.05415127785369747
1985-06-01,0.0,-0.3336243054554329
1985-07-01,-0.28609898265815153,0.02551852873519598
1985-08-01,0.0,-0.291062273882983
1985-09-01,0.0,0.14247460132079076
1985-10-01,-1.402163867602532,0.4621295135146759
1985-11-01,0.0,0.8678750244687544
1985-12-01,-3.9282872921248226,-0.5795548187293642
1986-01-01,0.0,-1.0706793169291875
1986-02-01,0.0,-2.481581126060563
