date,ipcucst,ipcuhsho,ipcuhsro,ipcuhsrr,ipcums,irdecs,irers,iusxegm
1987-10-01,6.589068400788193,19.147843725749762,,5.998047362768016,4.692853964028672,,,50.361565915004334
1987-11-01,6.642043356562221,19.17637201552951,,5.9928497480689105,4.70654792434464,,,50.43976021292399
1987-12-01,6.646,19.263,,6.03,4.715,,,50.567
1988-01-01,6.655367692779384,19.303113907195335,,6.033518764210099,4.752389218276876,,,50.76023070531116
1988-02-01,6.643461814357669,19.313077572737072,,6.032243205029651,4.782515545825431,,,50.831146555882036
1988-03-01,6.625516114054245,19.260003074034334,,6.011109373718598,4.7901463561358515,,,50.774046753515584
1988-04-01,6.612593859359344,19.20581039843083,,5.989772011509572,4.7831102047277945,,,50.674123766753354
1988-05-01,6.6372297585465,19.214330186170216,,5.983526751592358,4.787765024290915,,,50.66130501607718
1988-06-01,6.656052985825829,19.19178403601695,,5.976953511281441,4.791801751114403,,,50.645403790397296
1988-07-01,6.653940036979092,19.21339472705696,,5.975111102152705,4.8096451181084845,,,50.66922208202748
1988-08-01,6.662189859314513,19.24941776391807,,5.977939891880321,4.8101103519026305,,,50.77167822961983
1988-09-01,6.643390945851434,19.236846015494578,,5.970392812330529,4.795102557263865,,,50.62841416696639
1988-10-01,6.6878544480440585,19.230622895434692,,5.9643523268014045,4.803024148398738,,,50.69408641144717
1988-11-01,6.733461253233956,19.330127271664594,,5.977816049049353,4.8228904315448515,,,50.80791881095761
1988-12-01,6.748,19.33,,5.983,4.828,,,50.849
1989-01-01,6.760312952615159,19.291600701006374,,5.971660670728418,4.858247890927015,,,50.90700048559466
1989-02-01,6.778073989501575,19.255129346716906,,5.965334822783082,4.892217427487853,,,50.9291751884017
1989-03-01,6.7594110732781925,19.18752749165723,,5.940253622755751,4.891034742258002,,,50.90620853936608
1989-04-01,6.725483857280168,19.11927260050001,,5.915154130641243,4.8759016458198445,,,50.65160535390618
1989-05-01,6.722260685166548,19.123409910382026,,5.8951367439486715,4.864890437986205,,,50.554692292562976
1989-06-01,6.725850523466157,19.119170270541485,,5.907677999505744,4.886166990066322,,,50.62150840106963
1989-07-01,6.704682521523449,19.18476463310243,,5.924613363205647,4.920523839305339,,,50.83885939492719
1989-08-01,6.703800916908369,19.265492858279977,,5.937340781816186,4.948820558415543,,,50.98317859416597
