h,b0,se0,b1,se1,p_b1,n,b2,se2,p_b2,p_joint,beta_at_-1.50,se_at_-1.50,beta_at_-1.25,se_at_-1.25,beta_at_-1.00,se_at_-1.00,beta_at_-0.75,se_at_-0.75,beta_at_-0.50,se_at_-0.50,beta_at_-0.25,se_at_-0.25,beta_at_+0.00,se_at_+0.00,beta_at_+0.25,se_at_+0.25,beta_at_+0.50,se_at_+0.50,beta_at_+0.75,se_at_+0.75,beta_at_+1.00,se_at_+1.00,beta_at_+1.25,se_at_+1.25,beta_at_+1.50,se_at_+1.50,beta_at_+1.75,se_at_+1.75,beta_at_+2.00,se_at_+2.00
10,0.1090379773480418,0.04309050167961961,0.07257654183262055,0.04093612619193041,0.07624170099873531,455,-0.005867838723531207,0.016101256649415432,0.7155342582008919,0.05077492733646776,-0.013029472528834244,0.0728124492929989,0.009148802051748606,0.05614510061331754,0.03059359679189004,0.043409573840746646,0.05130491169159008,0.03593364997533747,0.07128274675084872,0.03450077458000042,0.09052710196966597,0.03772860182407308,0.1090379773480418,0.04309050167961961,0.12681537288597622,0.04879315816276816,0.14385928858346927,0.053945639220571884,0.1601697244405209,0.05817144435414321,0.17574668045713115,0.06136349352536005,0.19059015663329998,0.0635804382840392,0.20470015296902738,0.06501429840405662,0.21807666946431345,0.06599169900072803,0.2307197061191581,0.0669864037642272
11,0.1036706304207449,0.04647203207744925,0.07951028171210836,0.0440680605468861,0.07119040513392737,454,0.0013459247342965455,0.017679404711206093,0.939316048431165,0.006514290229923581,-0.012566461495250416,0.07855643539855528,0.006385785677947791,0.060144210744796284,0.025506273442933082,0.046061380912793624,0.044795001799705435,0.03786937629041672,0.06425197074826486,0.036523241936077484,0.08387718028861134,0.04037116086074581,0.1036706304207449,0.04647203207744925,0.12363232114466553,0.052826291354545134,0.1437622524603732,0.058474332683347556,0.16406042436786797,0.0630187197619567,0.1845268368671498,0.0663481104441705,0.2051614899582187,0.06852597095158884,0.22596438364107468,0.06975883763361532,0.2469355179157177,0.0704028420384196,0.2680748927821478,0.07098544743085745
12,0.12169258672103817,0.05041117612755204,0.08643504775924706,0.04588976307251425,0.05962768627671545,453,0.00242414755913737,0.01868713969546295,0.896785765473762,0.0025410458687218675,-0.0025056529097733423,0.08199223912833357,0.01743650758313149,0.0629085457526695,0.03768168652092848,0.04856468440400919,0.05822988390361764,0.04058435973431579,0.07908109973119899,0.03971323698414213,0.10023533400367249,0.043993076212729736,0.12169258672103817,0.05041117612755204,0.143452857883296,0.05698258558411051,0.16551614749044602,0.06274950483042335,0.18788245554248822,0.06730828617567049,0.21055178203942257,0.07054169926536363,0.2335241269812491,0.07251081120156772,0.25679949036796784,0.07342576189383633,0.2803778721995787,0.0736567845262156,0.30425927247608175,0.07376388384282793
13,0.12127305253121039,0.05276026017844806,0.08690646430154084,0.04806706494066495,0.07060257989527369,452,0.0009519609581518304,0.020293399771657675,0.9625850532676264,0.004080924066928253,-0.006944731765259263,0.08825392150678937,0.014127411151396584,0.06763054538078521,0.03531854918782138,0.05202778680395382,0.056628682344015156,0.043152102959529384,0.07805781061997792,0.041862736331508735,0.09960593401570966,0.04614770723990394,0.12127305253121039,0.05276026017844806,0.1430591661664801,0.05952624646046145,0.16496427492151877,0.06539257531558318,0.18698837879632643,0.06991487089269655,0.20913147779090305,0.07296357026213951,0.23139357190524867,0.0746068712475486,0.2537746611393633,0.07508276458571933,0.2762747454932468,0.07481860875720422,0.2988938249668994,0.07447438701934371
14,0.1154831759288307,0.056622155779124266,0.0805051135295659,0.05276614565562925,0.1270855148148316,451,0.0038907127623056814,0.021936633018541183,0.8592244956152167,0.004110964995377592,0.003479609349669649,0.09831113892837115,0.020931022707975956,0.07533124188500828,0.03886877516157049,0.057662858633641866,0.05729286671045323,0.04717665731257613,0.07620329735462417,0.04507476402525713,0.09560006709408334,0.04943131076068759,0.1154831759288307,0.056622155779124266,0.1358526238588663,0.06410898220505996,0.15670841088419007,0.07064441107979577,0.17805053700480208,0.07568814488053817,0.19987900222070226,0.0790561576412901,0.22219380653189072,0.080777572672078,0.24499494993836732,0.08105597383170036,0.2682824324401321,0.08028766437422173,0.2920562540371852,0.07911582492553941
15,0.12318140814285677,0.060562077693971365,0.0758387825282056,0.05653550804029673,0.17977883963554908,450,0.004718420402104462,0.023365879273391576,0.8399664833216196,0.005411281103908231,0.02003968025528341,0.10467608857074687,0.035755461860888,0.07987427295834691,0.05206104601675564,0.0607851754802854,0.06895643272288633,0.04952885368024161,0.0864416219792801,0.04750897385742821,0.10451661378593691,0.05253952048867918,0.12318140814285677,0.060562077693971365,0.14243600505003973,0.06881236033506531,0.16228040450748568,0.07595826895118989,0.18271460651519472,0.08142255730857471,0.20373861107316682,0.08499742502972432,0.225352418181402,0.08668984786320685,0.24755602783990022,0.08667872984274402,0.27034944004866146,0.08533364433712068,0.29373265480768584,0.08327815417903192
16,0.124677172670733,0.06435149142819507,0.08895559020979554,0.06019077172335105,0.1394361088553014,449,0.005960772073342002,0.024731859039558365,0.8095427679744074,0.0013588605191637141,0.00465552452105919,0.1108595762942315,0.02279639127308545,0.08452417447850073,0.04168235453427946,0.06426267646901174,0.06131341430464122,0.05235429311926041,0.08168957058417073,0.05030487768685216,0.10281082337286798,0.05575181328581624,0.124677172670733,0.06435149142819507,0.14728861847776575,0.07316805406982883,0.17064516079396627,0.0807922734587483,0.19474679961933455,0.08661245681568605,0.21959353495387055,0.09040468834667206,0.2451853667975743,0.09216870343202972,0.2715222951504458,0.0920817916355269,0.29860432001248505,0.09051774772720131,0.32643144138369207,0.0881142893276081
17,0.13806569402921726,0.06405541263356876,0.09971870592588943,0.05850893315870844,0.08831889207274755,448,0.002239933187634574,0.025373307822697252,0.9296548370645037,0.0012217238861801118,-0.006472515187439083,0.10880120653785377,0.016917207227534495,0.08273476913610417,0.040586921290962405,0.06292727615777627,0.06453662700284464,0.051645983311188894,0.08876632436318119,0.05012983251638856,0.11327601337197206,0.05570312279621879,0.13806569402921726,0.06405541263356876,0.16313536633491676,0.07239064684562645,0.18848503028907063,0.07938359919500684,0.21411468589167876,0.08446591701343813,0.24002433314274127,0.08744320117264157,0.2662139720422581,0.08834750213184175,0.2926836025902292,0.08740600302987894,0.31943322478665465,0.08508037346343303,0.3464628386315344,0.08216441685107773
18,0.15228146825612782,0.0677415616461654,0.10550891335704823,0.061168931215560184,0.08454955060266978,447,-0.003982337004250727,0.026647207372754958,0.8812011701562478,0.006419940361063915,-0.014942160039008657,0.11132276279137938,0.014172924990675757,0.08417047486670093,0.042790217894828855,0.06375470233822697,0.07090971867345061,0.05262113082697313,0.09853142732654102,0.05196583939432729,0.12565534385410007,0.058552901261390775,0.15228146825612782,0.0677415616461654,0.1784098005326242,0.07670986294019415,0.20404034068358926,0.08416642543134809,0.22917308870902295,0.0895730657193226,0.2538080446089253,0.09276139235014429,0.27794520838329634,0.0937913324447271,0.301584580032136,0.09292534287180952,0.32472615955544437,0.09067266449773032,0.3473699469532214,0.08788948699019923
19,0.15205245232232723,0.06930977054743476,0.09968244416667647,0.06325873914674439,0.11507436953883791,446,-0.0027449606459354625,0.027133278746787698,0.9194188217877535,0.00988277557132344,-0.0036473753810422685,0.1148899945254481,0.02316039610470747,0.08688676716602746,0.04962504750971529,0.06571568275713915,0.07574657883398117,0.05400244102442165,0.10152499007750512,0.05310649033891328,0.12696028124028713,0.05981244950872497,0.15205245232232723,0.06930977054743476,0.17680150332362538,0.07863940642438555,0.2012074342441816,0.08644302458189637,0.22527024508399587,0.09214942612335436,0.24898993584306825,0.09556928776021484,0.27236650652139865,0.09674349866756574,0.2953999571189871,0.0959112930751244,0.3180902876358337,0.09354964354178602,0.34043749807193835,0.09047118825822267
20,0.1400543158194611,0.07277062997520414,0.08711776886285255,0.06449249551270843,0.17675301991936077,445,0.004231700051152497,0.028173870536171843,0.8806072544259049,0.009636592793343604,0.018898987640275387,0.11523840819563227,0.037769136070821184,0.08658863910327835,0.05716824700776104,0.06530508733904623,0.07709632045109496,0.05430417077791737,0.09755335640082294,0.05470045593394819,0.11853935485694499,0.06253593124289189,0.1400543158194611,0.07277062997520414,0.16209823928837128,0.08253383777321781,0.1846711252636755,0.09054941495737884,0.20777297374537376,0.09628972550092588,0.23140378473346615,0.09958842418281401,0.25556355822795257,0.10050132822997247,0.2802522942288331,0.09928245852202107,0.3054699927361076,0.09643156001571174,0.33121665374977616,0.09280502666558803
21,0.13416913185977153,0.07449622162916543,0.07324354731980097,0.06342467611829054,0.24816761411820187,444,0.007406242597538554,0.028846436088494277,0.7973739080677278,0.00918338444610417,0.04096785672453183,0.11429526118906902,0.0541869517686743,0.08558097821258472,0.06833182713750911,0.06463242511467593,0.08340248283103624,0.05446403353034073,0.09939891884925567,0.05578746355945237,0.11632113519216744,0.06414271042955895,0.13416913185977153,0.07449622162916543,0.15294290885206793,0.08410510514119952,0.17264246616905665,0.09175767920318291,0.19326780381073771,0.09694506851827069,0.21481892177711107,0.09949650168112734,0.23729582006817676,0.0994503219919058,0.26069849868393474,0.09703642409325502,0.285026957624385,0.0927359216895578,0.3102811968895277,0.08742609661328402
22,0.12984920082255708,0.07792704666314587,0.06661524452621792,0.06341604537238872,0.2935122846493333,443,0.013919798144460642,0.029624255908656114,0.6384418929798272,0.0014097876149107272,0.06124587985826664,0.11433938173114938,0.06832982976550443,0.08544599193605826,0.0771537544407998,0.06488620951796191,0.08771765388415274,0.055765905176533376,0.10002152809556328,0.05823121344705386,0.11406537707503138,0.06728014325985013,0.12984920082255708,0.07792704666314587,0.14737299933814035,0.08755985220135284,0.1666367726217812,0.09502123144039228,0.18764052067347964,0.09980945244616417,0.21038424349323565,0.10173525243308021,0.23486794108104922,0.10079866179961885,0.2610916134369204,0.09717025675614462,0.2890552605608492,0.09125024984620315,0.31875888245283546,0.08383181716896967
23,0.1269400073103169,0.08112049365425797,0.058085787761173624,0.06393478195619837,0.3636055371079868,442,0.0138163312014292,0.03088996175319216,0.6546759647066409,0.002879815034594418,0.07089807087177216,0.11409719054493339,0.075920790111083,0.08444566154812505,0.08267055075057247,0.06380969757165682,0.09114735279024061,0.055645022512767955,0.1013511962300874,0.059590053796564804,0.11328208107011283,0.06979099091953331,0.1269400073103169,0.08112049365425797,0.14232497495069962,0.09107375189909356,0.15943698399126102,0.09857036383287827,0.17827603443200107,0.10314411098983864,0.19884212627291972,0.10461722949741649,0.22113525951401705,0.10298692415552708,0.24515543415529303,0.09841141768625987,0.2709026501967477,0.09127538402445085,0.298376907638381,0.08237631271992783
24,0.12771574145577236,0.08587778015842498,0.059407425872696235,0.06506700046281098,0.36123240192105344,441,0.019451050281864377,0.03231547219907508,0.5472331325568431,0.00058206810628533,0.08236946578092286,0.1138764059905846,0.08384872518031516,0.08359004832076114,0.0877593658649405,0.0632513764675847,0.09410138783479889,0.05660181304335801,0.10287479108989034,0.062369000666203434,0.11407957563021483,0.07382770498254504,0.12771574145577236,0.08587778015842498,0.14378328856656294,0.09617951061360985,0.16228221696258655,0.10374085168904118,0.18321252664384324,0.10813423281109152,0.20657421761033296,0.1091969113737706,0.23236728986205574,0.10692917805103434,0.2605917433990116,0.1014859144418901,0.2912475782212004,0.09324816502482607,0.32433479432862233,0.0830293281070335
